Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Murray St.,111.46,99.6211,0.784381,54.8,46.5,17.2,19.4,32.0,30.7,68.6642,1.34955,2019
Marquette,112.575,97.0421,0.846509,53.5,46.3,19.4,16.6,29.4,26.1,68.9478,2.80518,2019
Purdue,123.491,95.5733,0.950127,53.6,49.0,15.8,18.6,34.5,27.0,65.5378,6.10481,2019
Old Dominion,100.217,95.6538,0.630852,47.1,45.6,17.8,18.5,32.1,24.8,64.6037,-1.57316,2019
Villanova,115.509,100.107,0.83831,53.2,50.4,16.9,18.0,30.3,27.7,63.5627,3.7294,2019
Saint Mary's,114.117,97.4131,0.860571,53.8,48.9,16.2,16.3,31.2,23.0,62.4383,-0.604732,2019
Wofford,117.309,98.1543,0.885958,57.5,49.9,16.1,19.1,31.8,25.2,65.542,4.18115,2019
Seton Hall,108.766,98.0689,0.76684,49.9,49.6,17.5,19.8,29.5,29.2,68.9053,-0.285332,2019
Buffalo,114.535,96.3906,0.879049,53.4,47.3,16.0,20.3,31.7,26.9,73.5044,5.7494,2019
Duke,119.638,90.3783,0.961776,53.6,45.0,17.5,19.4,35.6,29.5,72.1743,11.2139,2019
Houston,116.591,91.6222,0.941114,52.1,42.5,16.5,18.2,34.4,26.0,65.7298,7.93268,2019
Georgia St.,107.738,102.237,0.646287,53.7,50.3,16.4,21.0,23.0,33.8,69.7,-1.09654,2019
Iowa,116.823,101.841,0.82897,52.7,51.5,17.2,18.4,29.8,29.4,69.3512,3.18745,2019
Cincinnati,113.15,94.9749,0.882227,49.0,48.6,16.0,20.9,37.4,29.3,63.5164,5.90916,2019
Liberty,110.196,100.573,0.74092,55.9,48.9,17.2,20.5,25.2,26.4,61.9619,-0.428456,2019
Mississippi St.,117.685,97.9824,0.891592,54.6,50.3,19.2,19.5,34.7,29.6,67.4455,4.55169,2019
North Carolina,120.82,92.6179,0.95508,52.9,48.9,17.2,18.3,35.3,22.8,74.5273,9.97942,2019
Iona,106.346,109.675,0.412299,53.0,52.3,17.3,18.5,25.1,30.7,70.5267,-10.1941,2019
Ohio St.,108.594,95.0288,0.822664,50.3,48.3,18.7,18.2,27.6,25.9,65.6362,0.85262,2019
Iowa St.,119.127,97.8065,0.906171,54.7,48.4,16.3,18.8,28.3,30.1,67.5084,4.29093,2019
Oklahoma,111.252,94.3008,0.870014,50.4,47.5,17.0,17.3,25.8,27.8,68.7434,2.5329,2019
Mississippi,114.034,99.0299,0.835122,53.1,51.0,18.2,20.6,30.2,29.3,68.0717,0.951726,2019
Oregon,108.97,92.767,0.864281,52.0,46.4,17.8,20.9,29.6,28.8,63.7351,-0.972245,2019
Wisconsin,108.965,89.8394,0.901986,51.1,45.2,14.6,17.2,24.5,26.5,63.4149,6.23196,2019
Tennessee,123.522,96.502,0.944741,55.3,48.1,15.8,18.0,31.6,30.2,67.251,9.82619,2019
Colgate,110.231,106.425,0.599675,55.9,50.7,19.3,17.8,30.2,27.1,66.5574,-4.11475,2019
Texas Tech,115.935,86.4197,0.967037,53.5,43.0,17.7,22.8,27.4,28.7,65.8887,7.00931,2019
Northern Kentucky,108.868,102.345,0.670505,54.6,49.1,17.8,18.4,30.6,26.0,68.2083,-2.03253,2019
UC Irvine,108.264,98.6025,0.745539,51.3,44.1,17.5,16.7,33.7,27.0,64.9978,0.933967,2019
Kansas St.,108.777,88.9733,0.90979,49.4,48.2,17.4,22.8,28.3,25.7,63.3666,6.55722,2019
UCF,113.59,94.3899,0.89372,52.9,45.4,17.6,18.0,29.5,29.6,64.8682,2.16927,2019
VCU,105.573,88.6879,0.881234,50.1,43.5,20.0,23.4,31.0,30.6,68.3419,1.36264,2019
Virginia,123.771,91.0975,0.971383,55.2,44.7,14.7,17.5,30.4,25.4,59.2465,11.0925,2019
Gardner Webb,107.084,107.577,0.486812,54.8,50.5,17.1,18.2,22.4,31.3,67.2404,-4.85882,2019
Virginia Tech,118.629,94.538,0.931532,55.6,49.0,17.3,21.6,29.6,27.2,63.6757,5.00679,2019
Saint Louis,102.326,96.7089,0.656844,46.7,46.9,19.3,19.4,36.0,25.1,66.3043,-2.96283,2019
Washington,106.525,94.2227,0.803966,52.1,47.5,19.8,24.2,29.1,34.9,65.6928,3.2906,2019
Utah St.,112.374,97.8199,0.83133,53.9,46.5,18.2,17.3,32.0,22.3,67.9658,2.24595,2019
